volume,ticks,status,open,low,high,cost,close,timestamp,instrument
0.0,1745352000000,ok,0.0555,0.0555,0.0555,0.0,0.0555,2025-04-22 20:00:00,BTC-27MAR26-65000-P
0.0,1745355600000,ok,0.0555,0.0555,0.0555,0.0,0.0555,2025-04-22 21:00:00,BTC-27MAR26-65000-P
0.0,1745359200000,ok,0.0555,0.0555,0.0555,0.0,0.0555,2025-04-22 22:00:00,BTC-27MAR26-65000-P
0.4,1745362800000,ok,0.0525,0.0525,0.0525,0.021,0.0525,2025-04-22 23:00:00,BTC-27MAR26-65000-P
0.0,1745366400000,ok,0.0525,0.0525,0.0525,0.0,0.0525,2025-04-23 00:00:00,BTC-27MAR26-65000-P
0.0,1745370000000,ok,0.0525,0.0525,0.0525,0.0,0.0525,2025-04-23 01:00:00,BTC-27MAR26-65000-P
0.0,1745373600000,ok,0.0525,0.0525,0.0525,0.0,0.0525,2025-04-23 02:00:00,BTC-27MAR26-65000-P
0.0,1745377200000,ok,0.0525,0.0525,0.0525,0.0,0.0525,2025-04-23 03:00:00,BTC-27MAR26-65000-P
0.0,1745380800000,ok,0.0525,0.0525,0.0525,0.0,0.0525,2025-04-23 04:00:00,BTC-27MAR26-65000-P
0.0,1745384400000,ok,0.0525,0.0525,0.0525,0.0,0.0525,2025-04-23 05:00:00,BTC-27MAR26-65000-P
0.0,1745388000000,ok,0.0525,0.0525,0.0525,0.0,0.0525,2025-04-23 06:00:00,BTC-27MAR26-65000-P
0.0,1745391600000,ok,0.0525,0.0525,0.0525,0.0,0.0525,2025-04-23 07:00:00,BTC-27MAR26-65000-P
0.0,1745395200000,ok,0.0525,0.0525,0.0525,0.0,0.0525,2025-04-23 08:00:00,BTC-27MAR26-65000-P
0.0,1745398800000,ok,0.0525,0.0525,0.0525,0.0,0.0525,2025-04-23 09:00:00,BTC-27MAR26-65000-P
0.0,1745402400000,ok,0.0525,0.0525,0.0525,0.0,0.0525,2025-04-23 10:00:00,BTC-27MAR26-65000-P
0.3,1745406000000,ok,0.052,0.052,0.052,0.0156,0.052,2025-04-23 11:00:00,BTC-27MAR26-65000-P
0.0,1745409600000,ok,0.052,0.052,0.052,0.0,0.052,2025-04-23 12:00:00,BTC-27MAR26-65000-P
