Date,Call GEX,Put GEX,Net GEX,P/C GEX
2024-12-19,567.7K,-715.90K,-148.19K,1.26
2024-12-18,648.15K,-625.80K,22.35K,0.97
2024-12-17,628.45K,-623.22K,5.23K,0.99
2024-12-16,630.36K,-537.01K,93.35K,0.85
2024-12-13,664.37K,-541.57K,122.79K,0.82
2024-12-12,602.03K,-551.13K,50.9K,0.92
2024-12-11,600.46K,-495.56K,104.89K,0.83
2024-12-10,568.9K,-529.19K,39.71K,0.93
2024-12-09,559.89K,-436.37K,123.51K,0.78
2024-12-06,576.92K,-392.68K,184.24K,0.68
2024-12-05,586.41K,-377.86K,208.55K,0.64
2024-12-04,591.18K,-369.86K,221.32K,0.63
2024-12-03,542.56K,-406.56K,136K,0.75
2024-12-02,540.36K,-364.48K,175.88K,0.67
2024-11-29,560.68K,-418.33K,142.35K,0.75
2024-11-27,553.22K,-402.74K,150.48K,0.73
2024-11-26,540.38K,-386.82K,153.56K,0.72
2024-11-25,547.8K,-347.28K,200.52K,0.63
2024-11-22,494.49K,-418.53K,75.95K,0.85
2024-11-21,493.72K,-404.38K,89.35K,0.82
2024-11-20,482.64K,-445.48K,37.16K,0.92
2024-11-19,420.03K,-487.44K,-67.42K,1.16
2024-11-18,437.9K,-514.31K,-76.41K,1.17
2024-11-15,420.03K,-470.65K,-50.61K,1.12
2024-11-14,582.99K,-457.28K,125.71K,0.78
2024-11-13,544.12K,-413.18K,130.94K,0.76
2024-11-12,513.11K,-371.97K,141.14K,0.72
2024-11-11,505.13K,-318.53K,186.61K,0.63
2024-11-08,555.81K,-334.75K,221.06K,0.6
2024-11-07,506.53K,-317.80K,188.73K,0.63
2024-11-06,491.68K,-327.89K,163.79K,0.67
2024-11-05,379.48K,-437.21K,-57.73K,1.15
2024-11-04,359.02K,-442.51K,-83.49K,1.23
2024-11-01,365.56K,-472.19K,-106.62K,1.29
2024-10-31,373.61K,-476.41K,-102.80K,1.28
2024-10-30,457.23K,-429.38K,27.84K,0.94
2024-10-29,418.71K,-445.55K,-26.84K,1.06
2024-10-28,462.54K,-414.08K,48.46K,0.9
2024-10-25,492.5K,-422.48K,70.02K,0.86
2024-10-24,443.11K,-454.00K,-10.89K,1.02
2024-10-23,430.28K,-437.44K,-7.16K,1.02
2024-10-22,414.14K,-428.15K,-14.01K,1.03
2024-10-21,437.06K,-371.57K,65.49K,0.85
2024-10-18,437.54K,-362.28K,75.26K,0.83
2024-10-17,561.97K,-366.49K,195.48K,0.65
2024-10-16,542.71K,-493.89K,48.83K,0.91
2024-10-15,547.28K,-366.67K,180.61K,0.67
2024-10-14,515.95K,-349.84K,166.1K,0.68
2024-10-11,504.38K,-391.02K,113.36K,0.78
2024-10-10,495.8K,-422.38K,73.43K,0.85
2024-10-09,478.98K,-405.68K,73.3K,0.85
2024-10-08,432.25K,-406.09K,26.16K,0.94
2024-10-07,420.53K,-394.91K,25.62K,0.94
2024-10-04,430.57K,-367.17K,63.4K,0.85
2024-10-03,392.85K,-407.98K,-15.13K,1.04
2024-10-02,386.47K,-417.62K,-31.15K,1.08
2024-10-01,434.09K,-358.72K,75.37K,0.83
2024-09-30,487.15K,-399.02K,88.13K,0.82
2024-09-27,539.29K,-360.24K,179.05K,0.67
2024-09-26,532.01K,-316.38K,215.63K,0.59
2024-09-25,516.51K,-346.53K,169.98K,0.67
2024-09-24,489.44K,-340.16K,149.28K,0.7
2024-09-23,453.95K,-326.84K,127.11K,0.72
2024-09-20,462.35K,-337.92K,124.43K,0.73
2024-09-19,654.92K,-441.08K,213.84K,0.67
2024-09-18,642.04K,-572.32K,69.73K,0.89
2024-09-17,651.25K,-512.16K,139.09K,0.79
2024-09-16,668.33K,-576.71K,91.61K,0.86
2024-09-13,644.03K,-555.16K,88.86K,0.86
2024-09-12,628.22K,-583.49K,44.73K,0.93
2024-09-11,544.69K,-617.85K,-73.16K,1.13
2024-09-10,559.95K,-608.88K,-48.93K,1.09
2024-09-09,488.04K,-620.81K,-132.78K,1.27
2024-09-06,512.93K,-628.32K,-115.39K,1.22
2024-09-05,488.29K,-598.29K,-110.00K,1.23
2024-09-04,480.17K,-625.95K,-145.79K,1.3
2024-09-03,524.64K,-512.64K,11.99K,0.98
2024-08-30,567.36K,-509.73K,57.64K,0.9
2024-08-29,549.81K,-493.39K,56.42K,0.9
2024-08-28,553.3K,-475.71K,77.59K,0.86
2024-08-27,527.76K,-492.46K,35.29K,0.93
2024-08-26,559.93K,-425.22K,134.71K,0.76
2024-08-23,533.53K,-444.35K,89.19K,0.83
2024-08-22,534.91K,-409.55K,125.36K,0.77
2024-08-21,531.07K,-433.28K,97.78K,0.82
2024-08-20,560.2K,-421.72K,138.48K,0.75
2024-08-19,531.41K,-437.23K,94.18K,0.82
2024-08-16,521.45K,-467.86K,53.59K,0.9
2024-08-15,608.49K,-508.59K,99.89K,0.84
2024-08-14,544.48K,-540.47K,4.01K,0.99
2024-08-13,465.61K,-558.23K,-92.62K,1.2
2024-08-12,441.74K,-556.22K,-114.48K,1.26
2024-08-09,402.67K,-575.25K,-172.58K,1.43
2024-08-08,358.15K,-584.18K,-226.03K,1.63
2024-08-07,374.79K,-567.85K,-193.06K,1.52
2024-08-06,306.29K,-560.84K,-254.55K,1.83
2024-08-05,247.91K,-537.64K,-289.73K,2.17
2024-08-02,339.94K,-598.37K,-258.43K,1.76
2024-08-01,465.91K,-451.94K,13.97K,0.97
2024-07-31,460.62K,-475.85K,-15.23K,1.03
2024-07-30,428.21K,-517.05K,-88.84K,1.21
2024-07-29,433.41K,-518.37K,-84.96K,1.2
2024-07-26,407.57K,-567.31K,-159.74K,1.39
2024-07-25,375.94K,-604.97K,-229.04K,1.61
2024-07-24,394.41K,-557.53K,-163.11K,1.41
2024-07-23,528.96K,-550.60K,-21.64K,1.04
2024-07-22,496.85K,-496.71K,137.9,1
2024-07-19,420K,-507.26K,-87.26K,1.21
2024-07-18,548.63K,-501.46K,47.18K,0.91
2024-07-17,506.2K,-493.56K,12.64K,0.98
2024-07-16,539.26K,-396.10K,143.16K,0.73
2024-07-15,586.38K,-394.31K,192.07K,0.67
2024-07-12,542.66K,-437.72K,104.94K,0.81
2024-07-11,523.42K,-333.50K,189.92K,0.64
2024-07-10,534.83K,-366.11K,168.72K,0.68
2024-07-09,537.1K,-360.92K,176.18K,0.67
2024-07-08,646.2K,-408.93K,237.27K,0.63
2024-07-05,569.02K,-384.24K,184.78K,0.68
2024-07-03,544.21K,-416.83K,127.38K,0.77
2024-07-02,452.33K,-475.48K,-23.14K,1.05
2024-07-01,460.86K,-431.49K,29.37K,0.94
2024-06-28,505.97K,-387.31K,118.66K,0.77
2024-06-27,496.2K,-413.05K,83.15K,0.83
2024-06-26,466.85K,-443.32K,23.53K,0.95
2024-06-25,465.67K,-431.83K,33.84K,0.93
